序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接,产业链环节,角色
3,605589,圣泉集团,公司信息更新报告：业绩符合预期，先进电子材料及电池材料快速放量,买入,开源证券,0,1.64,24.2,1.96,20.3,2.3,17.3,塑料,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821667295_1.pdf,电子树脂（特种树脂）,主要参与者
6,600176,中国巨石,一季报点评：传统电子布龙头，涨价弹性持续贡献,买入,国金证券,0,1.708,19.32,2.068,15.96,2.19,15.07,玻璃玻纤,2026-04-26,https://pdf.dfcfw.com/pdf/H3_AP202604261821592909_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
1,002080,中材科技,一季报点评：业绩好于预期，特种玻纤景气度向好,买入,国金证券,0,1.709,30.73,2.195,23.92,2.59,20.28,玻璃玻纤,2026-04-26,https://pdf.dfcfw.com/pdf/H3_AP202604261821592911_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
1,301526,国际复材,2025年年报点评：提价趋势显著，业绩弹性十足,买入,西南证券,0,0.44,31.51,0.61,22.87,0.74,18.84,玻璃玻纤,2026-04-26,https://pdf.dfcfw.com/pdf/H3_AP202604261821586939_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
1,601208,东材科技,公司信息更新报告：Q1扣非净利润高增，高速树脂、光学膜量利齐升,买入,开源证券,0,0.54,63.4,0.68,50.5,0.82,41.7,塑料,2026-04-24,https://pdf.dfcfw.com/pdf/H3_AP202604241821530881_1.pdf,电子树脂（特种树脂）,主要参与者
1,603256,宏和科技,织芯路，乘势AI,买入,中邮证券,0,0.71,149.38,1.28,82.89,1.63,64.98,玻璃玻纤,2026-04-24,https://pdf.dfcfw.com/pdf/H3_AP202604241821575514_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
2,301217,铜冠铜箔,年报点评：AI铜箔领跑者，HVLP产量高增,买入,国金证券,0,0.548,86.78,0.853,55.7,1.328,35.79,电池,2026-04-19,https://pdf.dfcfw.com/pdf/H3_AP202604191821320596_1.pdf,电子铜箔,国内龙头
7,600176,中国巨石,一季报预告点评：业绩超预期，电子布涨价持续贡献,买入,国金证券,0,1.708,18.21,2.068,15.04,2.19,14.2,玻璃玻纤,2026-04-16,https://pdf.dfcfw.com/pdf/H3_AP202604161821254269_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
2,603256,宏和科技,2025年年报点评：盈利大幅提升，业绩增长强劲,增持,东莞证券,0,0.6,147.63,1.18,75.68,,,玻璃玻纤,2026-04-14,https://pdf.dfcfw.com/pdf/H3_AP202604141821168748_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
1,688519,南亚新材,强劲增长,买入,中邮证券,0,2.09,65.6,3.45,39.69,5.57,24.57,元件,2026-04-14,https://pdf.dfcfw.com/pdf/H3_AP202604141821168211_1.pdf,核心CCL,主要参与者
2,300395,菲利华,半导体传统业务稳增长，电子布放量在即启新程,买入,华源证券,0,2.53,38.33,4.96,19.58,,,航空装备Ⅱ,2026-03-27,https://pdf.dfcfw.com/pdf/H3_AP202603271820794168_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
9,600176,中国巨石,新需求和产线优化等推动公司业绩持续提升,买入,东兴证券,0,1.33,17.66,1.58,14.81,1.76,13.31,玻璃玻纤,2026-03-23,https://pdf.dfcfw.com/pdf/H3_AP202603231820701849_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
8,600176,中国巨石,业绩符合预期，26年期待电子布量价齐升,增持,中邮证券,0,1.36,17.25,1.49,15.72,1.59,14.74,玻璃玻纤,2026-03-23,https://pdf.dfcfw.com/pdf/H3_AP202603231820702852_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
10,600176,中国巨石,2025年年报点评：毛利率持续修复，业绩大幅增长,增持,东莞证券,0,1.29,17.55,1.49,15.22,1.66,13.65,玻璃玻纤,2026-03-23,https://pdf.dfcfw.com/pdf/H3_AP202603231820697834_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
11,600176,中国巨石,2025年年报点评：新兴行业需求有望继续推动价量上行,买入,东吴证券,0,1.28,17.64,1.49,15.17,1.66,13.67,玻璃玻纤,2026-03-23,https://pdf.dfcfw.com/pdf/H3_AP202603231820689050_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
2,002080,中材科技,中材科技年报点评：AI电子布“大满贯”，景气度向好,买入,国金证券,0,1.709,24.54,2.195,19.1,2.59,16.19,玻璃玻纤,2026-03-22,https://pdf.dfcfw.com/pdf/H3_AP202603221820686525_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
12,600176,中国巨石,符合预期，电子布涨价弹性逐步呈现,买入,国金证券,0,1.5,15.63,1.758,13.34,1.857,12.63,玻璃玻纤,2026-03-20,https://pdf.dfcfw.com/pdf/H3_AP202603201820662232_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
3,301217,铜冠铜箔,创新驱动，拼箔未来,买入,中邮证券,0,0.4,105.32,0.62,67.92,,,电池,2026-03-18,https://pdf.dfcfw.com/pdf/H3_AP202603181820614187_1.pdf,电子铜箔,国内龙头
2,688519,南亚新材,高端产品加速放量,买入,中邮证券,0,2.07,53.13,3.42,32.15,,,元件,2026-03-09,https://pdf.dfcfw.com/pdf/H3_AP202603091820411019_1.pdf,核心CCL,主要参与者
3,300395,菲利华,高阶电子布需求旺盛，公司业绩有望快速成长,增持,群益证券,0,1.59,62.4,2.37,41.7,,,航空装备Ⅱ,2026-02-12,https://pdf.dfcfw.com/pdf/H3_AP202602121819894480_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
13,600176,中国巨石,首次股权激励计划落地，看好公司中长期发展,增持,华源证券,0,0.97,18.05,1.06,16.58,,,玻璃玻纤,2026-01-07,https://pdf.dfcfw.com/pdf/H3_AP202601071816777860_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
3,002080,中材科技,中材科技事件点评：期权激励方案发布，看好“大满贯”AI业绩环比提高,买入,国金证券,0,1.554,23.38,1.824,19.93,,,玻璃玻纤,2026-01-05,https://pdf.dfcfw.com/pdf/H3_AP202601051815158621_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
14,600176,中国巨石,中国巨石事件点评：股票激励草案出台，迈向新一轮需求周期,买入,国金证券,0,1.126,15.19,1.255,13.63,,,玻璃玻纤,2026-01-04,https://pdf.dfcfw.com/pdf/H3_AP202601031814056586_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
3,603256,宏和科技,高性能电子布快速放量,买入,中邮证券,0,0.34,98.64,0.54,62.92,,,玻璃玻纤,2025-12-23,https://pdf.dfcfw.com/pdf/H3_AP202512231806584095_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
1,300243,瑞丰高材,塑料助剂行业地位稳固，持续拓展业务边界,,环球富盛理财,0,,,,,,,塑料,2025-12-18,https://pdf.dfcfw.com/pdf/H3_AP202512181802905917_1.pdf,电子树脂（特种树脂）,主要参与者
15,600176,中国巨石,两大股东合力增持，彰显中长期发展信心,增持,华源证券,0,0.97,16.22,1.06,14.9,,,玻璃玻纤,2025-12-04,https://pdf.dfcfw.com/pdf/H3_AP202512041793764669_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
4,600183,生益科技,Q3单季度业绩新高，产品结构优化带动盈利能力提升,买入,太平洋,0,2.22,29.0,3.09,20.81,,,元件,2025-11-05,https://pdf.dfcfw.com/pdf/H3_AP202511051775618904_1.pdf,核心CCL,龙头
5,605589,圣泉集团,业绩同比高增，电子及电池材料延续高景气,买入,华安证券,0,1.96,13.92,2.37,11.47,,,塑料,2025-11-04,https://pdf.dfcfw.com/pdf/H3_AP202511041775112105_1.pdf,电子树脂（特种树脂）,主要参与者
5,600183,生益科技,三季度业绩表明AI周期全面启动，目标价上调至90元人民币,买入,招银国际,0,2.58,26.9,3.62,19.2,,,元件,2025-11-03,https://pdf.dfcfw.com/pdf/H3_AP202511031774412097_1.pdf,核心CCL,龙头
6,605589,圣泉集团,AI放量先进电子材料高速发展，产能扩张电池材料成长可期,增持,山西证券,0,1.71,16.4,1.99,14.1,,,塑料,2025-11-03,https://pdf.dfcfw.com/pdf/H3_AP202511031774438355_1.pdf,电子树脂（特种树脂）,主要参与者
6,600183,生益科技,生益科技：业绩高速成长，算力时代基础底座材料价值凸显,买入,华安证券,0,1.67,38.5,2.07,30.99,,,元件,2025-11-03,https://pdf.dfcfw.com/pdf/H3_AP202511031774376148_1.pdf,核心CCL,龙头
2,301526,国际复材,2025年三季报点评：量价趋势稳健，静待LDK放量,买入,西南证券,0,0.24,28.41,0.34,19.78,,,玻璃玻纤,2025-11-02,https://pdf.dfcfw.com/pdf/H3_AP202511021773734715_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
16,600176,中国巨石,传统业务稳步修复，高端电子布是未来看点,增持,华源证券,0,0.97,16.9,1.06,15.53,,,玻璃玻纤,2025-10-31,https://pdf.dfcfw.com/pdf/H3_AP202510311772596238_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
7,600183,生益科技,3Q25 results: AI super-cycle in full swing; Raising TP to RMB90,买入,招银国际,0,2.58,26.9,3.62,19.2,,,元件,2025-10-31,https://pdf.dfcfw.com/pdf/H3_AP202510311772348585_1.pdf,核心CCL,龙头
7,605589,圣泉集团,公司信息更新报告：Q3业绩同比增长，高频高速树脂量价齐升，合成树脂、生物质产品运营稳健,买入,开源证券,0,1.64,18.6,1.96,15.5,,,塑料,2025-10-30,https://pdf.dfcfw.com/pdf/H3_AP202510301771917749_1.pdf,电子树脂（特种树脂）,主要参与者
17,600176,中国巨石,深度报告：全球玻纤工业领导者 业绩实现探底回升,增持,东莞证券,0,0.99,16.26,1.13,14.26,,,玻璃玻纤,2025-10-29,https://pdf.dfcfw.com/pdf/H3_AP202510291771254435_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
4,301217,铜冠铜箔,铜冠铜箔三季报点评：国产HVLP龙头，报表逐步验证景气趋势,买入,国金证券,0,0.53,57.11,0.706,42.87,,,电池,2025-10-28,https://pdf.dfcfw.com/pdf/H3_AP202510281770413828_1.pdf,电子铜箔,国内龙头
4,300395,菲利华,2025年三季报点评：盈利提质、杠杆减负、现金蓄力，夯实高端石英材料龙头地位,买入,东吴证券,0,1.31,63.79,1.51,55.34,,,航空装备Ⅱ,2025-10-27,https://pdf.dfcfw.com/pdf/H3_AP202510271770108633_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
3,301526,国际复材,玻纤头部企业，技术底蕴深厚,买入,西南证券,0,0.24,24.2,0.34,16.85,,,玻璃玻纤,2025-10-26,https://pdf.dfcfw.com/pdf/H3_AP202510251768906667_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
18,600176,中国巨石,行业平衡下，量价共促盈利水平同比持续改善,买入,东兴证券,0,1.0,15.25,1.17,13.14,,,玻璃玻纤,2025-10-24,https://pdf.dfcfw.com/pdf/H3_AP202510241768203790_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
2,601208,东材科技,公司信息更新报告：Q3归母净利润同比增长，高速电子树脂、聚丙烯薄膜、光学膜材料持续放量,买入,开源证券,0,0.5,38.1,0.6,31.8,,,塑料,2025-10-24,https://pdf.dfcfw.com/pdf/H3_AP202510241768025726_1.pdf,电子树脂（特种树脂）,主要参与者
20,600176,中国巨石,Q3盈利持续高增，电子布表现亮眼,增持,中邮证券,0,0.99,15.97,1.12,14.16,,,玻璃玻纤,2025-10-23,https://pdf.dfcfw.com/pdf/H3_AP202510231767338723_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
5,300395,菲利华,2025年三季报点评：3Q25净利润同比增长80%；定增扩充石英电子纱产能,买入,民生证券,0,1.21,64.0,1.65,47.0,,,航空装备Ⅱ,2025-10-23,https://pdf.dfcfw.com/pdf/H3_AP202510231767691675_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
21,600176,中国巨石,业绩符合预期，行业重回去库趋势,买入,国金证券,0,1.052,15.07,1.146,13.82,,,玻璃玻纤,2025-10-23,https://pdf.dfcfw.com/pdf/H3_AP202510231767330306_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
8,605589,圣泉集团,合成树脂领先企业，电子树脂、生物质化工快速发展,买入,中银证券,0,1.74,15.8,2.22,12.4,,,塑料,2025-10-23,https://pdf.dfcfw.com/pdf/H3_AP202510231767432660_1.pdf,电子树脂（特种树脂）,主要参与者
19,600176,中国巨石,2025年三季报点评：量价齐升业绩高增，积极回购彰显信心,买入,西南证券,0,0.99,15.67,1.11,14.01,,,玻璃玻纤,2025-10-23,https://pdf.dfcfw.com/pdf/H3_AP202510231767593617_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
4,002080,中材科技,中材科技三季报点评：特种玻纤加速扩产，传统玻纤底部明确,买入,国金证券,0,1.554,20.36,1.824,17.35,,,玻璃玻纤,2025-10-22,https://pdf.dfcfw.com/pdf/H3_AP202510221766707992_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
22,600176,中国巨石,2025年三季报点评：Q3稳价增量效果良好，盈利逆势保持稳定,买入,东吴证券,0,1.07,14.75,1.24,12.75,,,玻璃玻纤,2025-10-22,https://pdf.dfcfw.com/pdf/H3_AP202510221766877035_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
6,300395,菲利华,定增扩产石英电子纱瞄准AI PCB需求，积极研发高端光学合成石英材料技术,买入,中银证券,0,1.98,36.1,2.54,28.2,,,航空装备Ⅱ,2025-10-20,https://pdf.dfcfw.com/pdf/H3_AP202510201765467070_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
5,002080,中材科技,中材科技事件点评：“大满贯”选手定增募投特种玻纤项目,买入,国金证券,0,1.554,22.69,1.824,19.89,,,玻璃玻纤,2025-09-30,https://pdf.dfcfw.com/pdf/H3_AP202509301753360789_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
3,688519,南亚新材,公司事件点评报告：前瞻布局高端CCL领域，逐步起量未来可期,买入,华鑫证券,0,2.2,32.7,3.48,20.7,,,元件,2025-09-29,https://pdf.dfcfw.com/pdf/H3_AP202509291752933301_1.pdf,核心CCL,主要参与者
7,300395,菲利华,高管增资中益新材，彰显Q布发展信心,买入,中银证券,0,1.98,38.7,2.54,30.3,,,航空装备Ⅱ,2025-09-29,https://pdf.dfcfw.com/pdf/H3_AP202509291752650289_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
8,600183,生益科技,公司事件点评报告：高频高速覆铜板领军企业，受益于终端AI服务器旺盛需求,买入,华鑫证券,0,1.62,34.7,2.02,27.8,,,元件,2025-09-26,https://pdf.dfcfw.com/pdf/H3_AP202509251750520699_1.pdf,核心CCL,龙头
3,601208,东材科技,国内碳氢树脂龙头，受益AI需求升级量价齐升,买入,东吴证券,0,1.04,16.83,1.57,11.18,,,塑料,2025-09-09,https://pdf.dfcfw.com/pdf/H3_AP202509081740463597_1.pdf,电子树脂（特种树脂）,主要参与者
23,600176,中国巨石,2025年半年报点评：改善趋势延续，分红回报股东,买入,西南证券,0,0.91,15.65,1.06,13.45,,,玻璃玻纤,2025-09-02,https://pdf.dfcfw.com/pdf/H3_AP202509021737997317_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
24,600176,中国巨石,结构复价效果显著，Q2盈利改善持续,增持,中邮证券,0,0.98,15.96,1.12,13.92,,,玻璃玻纤,2025-09-02,https://pdf.dfcfw.com/pdf/H3_AP202509021737938035_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
26,600176,中国巨石,2025中报点评：量价齐增，结构优势持续凸显,增持,国信证券,0,1.04,12.9,1.2,11.3,,,玻璃玻纤,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737597589_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
25,600176,中国巨石,2025年半年报点评报告：高端玻纤产品需求旺盛，公司盈利能力大幅提升,增持,华龙证券,0,1.01,15.5,1.17,13.4,,,玻璃玻纤,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737707247_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
27,600176,中国巨石,2025年中报点评：单季盈利继续回升，复价、调结构显现成果,买入,东吴证券,0,1.07,13.21,1.24,11.42,,,玻璃玻纤,2025-08-29,https://pdf.dfcfw.com/pdf/H3_AP202508291736420169_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
30,600176,中国巨石,中国巨石半年报点评：玻纤龙头盈利继续逐季修复,买入,国金证券,0,1.052,12.8,1.146,11.74,,,玻璃玻纤,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281736016567_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
5,601208,东材科技,业绩持续改善，看好后续成长,买入,国金证券,0,0.505,34.9,0.67,26.33,,,塑料,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281735845936_1.pdf,电子树脂（特种树脂）,主要参与者
4,601208,东材科技,公司信息更新报告：Q2业绩环比增长，聚丙烯薄膜、光学膜材料、高速电子树脂有序放量,买入,开源证券,0,0.52,34.2,0.62,28.5,,,塑料,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281735989920_1.pdf,电子树脂（特种树脂）,主要参与者
28,600176,中国巨石,公司信息更新报告：H1业绩同比大增，关注玻纤价格反弹和项目成长性,买入,开源证券,0,1.08,13.1,1.26,11.3,,,玻璃玻纤,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281736083602_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
29,600176,中国巨石,新需求增量推动盈利底部持续改善,买入,东兴证券,0,1.0,13.39,1.17,11.54,,,玻璃玻纤,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281736047349_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
8,300395,菲利华,基本盘符合预期，算力材料增量可期,买入,中银证券,0,2.0,46.6,2.5,36.4,,,航空装备Ⅱ,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281735860433_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
10,300395,菲利华,2025年半年报点评：1H25净利润增长29%；稳步推进石英电子布测试,买入,民生证券,0,1.22,77.0,1.66,57.0,,,航空装备Ⅱ,2025-08-27,https://pdf.dfcfw.com/pdf/H3_AP202508271735282273_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
9,300395,菲利华,2025年中报点评：半导体领域需求复苏带动高毛利产品增长，航空航天订单回暖,买入,东吴证券,0,1.31,71.56,1.51,62.08,,,航空装备Ⅱ,2025-08-27,https://pdf.dfcfw.com/pdf/H3_AP202508271735450689_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
6,002080,中材科技,2025中报点评：收入利润双增长，高端突破优势领先,增持,国信证券,0,1.55,23.9,1.84,20.1,,,玻璃玻纤,2025-08-27,https://pdf.dfcfw.com/pdf/H3_AP202508271735248781_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
4,301526,国际复材,盈利能力恢复显著，LDK增长空间广阔,,西南证券,0,0.19,34.47,0.23,28.72,,,玻璃玻纤,2025-08-27,https://pdf.dfcfw.com/pdf/H3_AP202508271735282306_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
4,688519,南亚新材,25Q2盈利环比高增，AI驱动高端产品结构优化,买入,中银证券,0,2.4,27.7,3.6,18.7,,,元件,2025-08-25,https://pdf.dfcfw.com/pdf/H3_AP202508251733943293_1.pdf,核心CCL,主要参与者
9,605589,圣泉集团,2025年半年报点评报告：产品放量带动净利同环比增长，拟布局新能源电池材料,增持,华龙证券,0,1.65,19.1,1.91,16.5,,,塑料,2025-08-24,https://pdf.dfcfw.com/pdf/H3_AP202508241733673231_1.pdf,电子树脂（特种树脂）,主要参与者
7,002080,中材科技,业绩高于快报中值，继续推荐AI电子布“大满贯”,买入,国金证券,0,1.554,20.64,1.824,17.59,,,玻璃玻纤,2025-08-22,https://pdf.dfcfw.com/pdf/H3_AP202508221732190312_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
9,600183,生益科技,Q2业绩超预期，看好后续持续兑现,买入,太平洋,0,1.61,27.79,2.18,20.51,,,元件,2025-08-22,https://pdf.dfcfw.com/pdf/H3_AP202508221732233735_1.pdf,核心CCL,龙头
11,605589,圣泉集团,公司事件点评报告：H1利润同比提升，AI驱动电子及电池材料销量稳步增长,买入,华鑫证券,0,1.73,18.4,2.17,14.7,,,塑料,2025-08-20,https://pdf.dfcfw.com/pdf/H3_AP202508191730623163_1.pdf,电子树脂（特种树脂）,主要参与者
10,605589,圣泉集团,电子及电池材料放量，业绩同环比大增,买入,华安证券,0,2.1,15.9,2.42,13.8,,,塑料,2025-08-20,https://pdf.dfcfw.com/pdf/H3_AP202508201731113022_1.pdf,电子树脂（特种树脂）,主要参与者
10,600183,生益科技,生益科技：2025年上半年业绩持续成长，算力时代基础底座材料价值凸显,买入,华安证券,0,1.63,27.34,2.06,21.69,,,元件,2025-08-20,https://pdf.dfcfw.com/pdf/H3_AP202508201731254053_1.pdf,核心CCL,龙头
12,605589,圣泉集团,2025年半年报点评：销量保持高增长，拟发行转债投入电池材料项目,买入,民生证券,0,2.12,15.0,2.92,11.0,,,塑料,2025-08-19,https://pdf.dfcfw.com/pdf/H3_AP202508191730589777_1.pdf,电子树脂（特种树脂）,主要参与者
13,605589,圣泉集团,电子及电池材料业绩亮眼，半年度业绩同比高增51.19%,增持,国信证券,0,1.77,15.2,2.09,12.9,,,塑料,2025-08-19,https://pdf.dfcfw.com/pdf/H3_AP202508191730497069_1.pdf,电子树脂（特种树脂）,主要参与者
14,605589,圣泉集团,公司信息更新报告：Q2业绩同环比高增，高频高速树脂量价齐升，拟发可转债投资新能源电池材料产业化项目,买入,开源证券,0,1.64,20.4,1.96,17.0,,,塑料,2025-08-19,https://pdf.dfcfw.com/pdf/H3_AP202508191730397463_1.pdf,电子树脂（特种树脂）,主要参与者
5,301217,铜冠铜箔,半年报点评：国产HVLP铜箔业绩超预期，利润释放元年,买入,国金证券,0,0.572,56.25,0.756,42.54,,,电池,2025-08-17,https://pdf.dfcfw.com/pdf/H3_AP202508171729133437_1.pdf,电子铜箔,国内龙头
15,605589,圣泉集团,AI领航PPO树脂蓄势待发，硅碳负极放量多孔碳前景可期,增持,山西证券,0,1.71,18.4,1.99,15.9,,,塑料,2025-08-12,https://pdf.dfcfw.com/pdf/H3_AP202508121726085539_1.pdf,电子树脂（特种树脂）,主要参与者
6,301217,铜冠铜箔,AI铜箔领跑者,买入,国金证券,0,0.513,47.31,0.681,35.62,,,电池,2025-08-10,https://pdf.dfcfw.com/pdf/H3_AP202508101724944880_1.pdf,电子铜箔,国内龙头
1,300586,美联新材,公司动态研究报告：EX电子材料全国唯一供应商，迎接AI浪潮打造新增长曲线,买入,华鑫证券,0,,,,,,,塑料,2025-08-02,https://pdf.dfcfw.com/pdf/H3_AP202508021720273910_1.pdf,电子树脂（特种树脂）,碳氢树脂参与者
5,688519,南亚新材,高端高速产品获全球知名AI服务器认证，持续受益国产算力发展,增持,华金证券,0,2.08,22.5,3.28,14.2,,,元件,2025-08-01,https://pdf.dfcfw.com/pdf/H3_AP202508011719656440_1.pdf,核心CCL,主要参与者
4,603256,宏和科技,宏图织就，和布同行,买入,中邮证券,0,0.2,118.1,0.26,92.01,,,玻璃玻纤,2025-08-01,https://pdf.dfcfw.com/pdf/H3_AP202508011719508020_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
